Ground Truth,Prediction
sette,sop
due,dueva
indietro,india 2
chiama ultimo numero, Jalla ulti munnaisessa.
terminare,ini
nove,nove
apri rubrica 2,apri rubrica 2
chiamata, yanaata
cancella contatto, अच्छ़़़़़़़़़़़़़़़़़़़़़़़़़़़़़़़़़़़़़़़़़़़़़़़़़़़़़़़़़़�
zelo,
chiudi applicazione, you will be appreciated
rimuovi,tasti
deseleziona, more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail more detail
rubrica,apriya
muovi,mali
nuovo contatto, n
cinque, च्यःएएःएःएःएःएःएःएःएःएःएःएःएःएःएःएःएःएःः
apri,srippi
cancella,cancella
salva,saliati
preferiti, अःःःःःःःःःःःःःःःःःःःःःःःःः
vai alla tastiera, अःःःःःःःःःःःःःःःःःःःःःःःःःः
apri rubrica 3,apri rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica rubrica
fai una telefonata, ताःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः�
attiva vivavoce,apriya biragoti
sotto,
chiama emergenza, yama negita
vivavoce, ಎದ
nave,novec
richiama,tastu
seleziona,sali sevavi
mali,n
chiudi, yudi
no,ya
chiama, अःःःःःःःःःःःःःःःःःःःःःःःःःः
vai nella rubrica,अईःःःःःःःःःःःःःःःःःःःःःःः
uno, more
esci da rubrica,
sezione,si lakkiyoni
aggiungi,acquatt
cella,tela
vai alla pagina principale,vaiyavakasvindraksna
otto,ata
sei,si
muto,muto
termina chiamata, ಎದ
scendi,aggiendi
vai nel registro chiamate,
si,si
scorri verso l alto,ali-desevapriya
raggiungi, more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more
sali,sali
apri rubrica 1,apri rubrica 2
vai nei preferiti, more detail
disattiva vivavoce, तःअएश़द्दिःददिःददिःददिःददिःददिःददिःददिःददिःददिःददिःददिःददिःददिःददिःददि�
stop,top
tra, more
bue,duevac
zero,tastu
scesi,
scorri verso il basso, अप्च्द्दिःःद्दिःद्दिःद्दिःद्दिःद्दिःद्दिःद्दिःद्दिःद्दिःद्दिःद्दिःद्दिःद्दिःद
cancella tutto,cancella contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto cont
tastiera, तच्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट
vai nella rubrica,vaiṃnavabriṣ
scorri verso il basso, च्योड़िःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
no, yop
chiama emergenza, च्याःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः�
cella,tea la
raggiungi, lalchiudi lalchiudi lalchiudi lalchiudi lalchiudi lalchiudi lalchiudi lalchiudi lalchiudi lalchiudi lalchiudi lalchiudi lalchiudi lalchiudi lalchiudi lalchiudi lalchiudi lalchiudi lalchiudi lalchiudi lalchiudi lalchiudi lalchiudi lalchiudi lalchiudi lalchiudi lalchiudi lalchiudi lalchiudi lalchiudi lalchiudi
cancella tutto,cancella tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto tutto
nave, nareva
quattro, ಎದ
zelo,zero
indietro, ಎದ
scorri verso l alto, तच्वःदिःच्व्ःद्ःद
apri,aggi
chiamata, yamata
tra,tap
apri rubrica 1,apri rubrica 2
bue, more more
cinque, च्यूएःःएःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
seleziona,selezhirola
scesi,si
nove,nove
attiva vivavoce, ಎದ
disattiva vivavoce, अईएपीश्पच्पच्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्च्
cancella,cancella
vai alla pagina principale, ಎದ
si,si
deseleziona, ಎದ
sei,si
chiama ultimo numero, अच्याःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
vivavoce, ಎದ
rubrica,lubrica
rimuovi,tastu
vai nei preferiti, more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more
uno, ಎದ
stop,
apri rubrica 3,apri rubrica 2
zero, more
richiama,richiama ultimo numero 1 chiamate ultimo numero 2 chiamate ultimo numero 3 chiamate ultimo numero 1 chiamate ultimo numero 2 chiamate ultimo numero 3 chiamate ultimo numero 1 chiamate ultimo numero 2 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo
esci da rubrica, अःशीएएःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः�
chiama,च्याःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
cancella contatto,cancella contatto
sezione,sezione sicuretatevi contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto cont
chiudi,siudi
sette,satta
sopra, शृबःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
preferiti,
aggiungi,aggiungi
chiudi applicazione, youvi apreciate me
nuovo contatto, नुएद्दिःद्दिःद्दिःद्दिःद्दिःद्दिःद्दिःद्दिःद्दिःद्दिःद्दिःद्दिःद्दिःद्दिःद्दि
termina chiamata, ಎದ
sali,
top,च्यवट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्�
scendi,aggiaggi
sotto,stop shop
vai nel registro chiamate, ಎದ
fai una telefonata, अईव्ःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
otto,ata
apri rubrica 2,apri rubrica 2
aggiungi ai preferiti,aggiungiaggi ai preferiti
muto, younave muto
tre,tatt
chiudi rubrica,
salva,saliati
mali,mali
due,draith
muovi,mali
terminare, ಎದ
vai alla tastiera,vai ala tastila tastila
zelo, there
chiama emergenza, च्यालाई नध्रीःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
attiva vivavoce,apriva vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati vivavocevati viv
cancella contatto, च्यद्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्द्
apri,apri
sotto,suta
vivavoce,
bue,duebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebuebue
tra,tastu
muovi,muovi
seleziona, च्यःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
disattiva vivavoce, ಎದ
vai alla pagina principale, more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more
salva,sali
chiudi,aggi
nave,nare
chiama,च्याल्ःट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्�
cancella,tastila
sopra,sevapai
sette,sette
indietro,tastu
apri rubrica 1,apri rubrica 2
chiudi applicazione,aggi applicazione
sezione,
chiamata, yalata yalata yalata yalata yalata yalata yalata yalata yalata yalata yalata yalata yalata yalata yalata yalata yalata yalata yalata yalata yalata yalata yalata yalata yalata yalata yalata yalata yalata yalata yalata yalata yalata yalata yalata yalata yalata yalata yalata yalata yalata y
tastiera, तश्दिःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
uno, okra
scendi,
scorri verso il basso, ಎದ
vai alla tastiera, more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more
cancella tutto,cancella tutto.
nove,nare
raggiungi,tasturri
sei,si
sali,
scesi,si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..
terminare,tasturnavai
vai nella rubrica, ಎದ
chiudi rubrica, you be rubrica
vai nel registro chiamate,vaiṃnavaiṃsukhyaṃataṃ
stop,stop
zero, ಎಎ
apri rubrica 2,apri rubrica 2
termina chiamata,termina chiamata
fai una telefonata,tai una telefonata
rimuovi,trimali
rubrica,l
no,ya
aggiungi ai preferiti, अच्च्ववःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
tre,
aggiungi,च्यवःट्टीःट्टीःट्टीःट्टीःट्टीःट्टीःट्टीःट्टीःट्टीःट्टीःट्टीःट्टीःट्टीःट्टीःट्�
deseleziona, तश्व्व्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट
mali, nai nai nai
cella,tela
scorri verso l alto, ಎದ
chiama ultimo numero, yama ultimo numero 1
top,tastu
esci da rubrica,
nuovo contatto,nuovi contatti
richiama,ali
vai nei preferiti,vai na preferiti
due,due
si,si
cinque,si
quattro,観..観..
preferiti,tastali
apri rubrica 3,apri rubrica 2
muto,muto
otto,apriya
vai nella rubrica, more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more
no,na
termina chiamata,termina chiamata
scendi,siini
vai nel registro chiamate, अईःद्दिःट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट
sette,satta
rimuovi,tmr.
rubrica,ukrita
seleziona,selezhirona
sopra, च्यदःदःदःदःद
sali,sette
zero,sir
stop,
raggiungi,aggiungiaggiaggiaggiungiaggiungiaggiungiaggiungiaggiungiaggiungiaggiungiaggiungiaggiungiaggiungiaggiungiaggiungiaggiungiaggiungiaggiungiaggiungiaggiungiaggiungiaggiungiaggiungiaggiungiaggiungiaggiungiaggiungiaggiungiaggiungiaggiungiaggiungiaggiungiaggiungiaggiungiaggiungiaggiungiaggiungiaggiungiaggiungiaggiungiaggiungiaggiungiaggiung
mali,mali
fai una telefonata,vai hong terapu nata
aggiungi,aggiungi
chiama ultimo numero, yama ulti mule
tre,tribe
sotto,sata
quattro,च्रईश्द्द्द्द्द्द्द
top,
si,si
attiva vivavoce,apriya vivagoti
chiudi, yudi
chiama,
cancella tutto, cancella contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto contatto cont
vai alla pagina principale, nai alla pagi nattivindivali.
due,due
richiama,richiama ultimo numero 1 chiamate ultimo numero 2 chiamate ultimo numero 3 chiamate ultimo numero 1 chiamate ultimo numero 2 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo numero 3 chiamate ultimo
salva,sali
chiudi applicazione, youvi applicazione
scorri verso il basso,ali basu ibasa
otto,ata
muto,ata
vai nei preferiti, अःःःःःःःःःःःःःःःःःःःःःःःःः
apri rubrica 1,apriya rubrica 2
muovi,mali
apri,apri
esci da rubrica,
zelo,tastu
cinque,tindipai
cella, ...tell
cancella contatto, yattini kansai rakuni tutudi
vivavoce,ali
apri rubrica 2,apri rubrica 2
terminare,tastinata
bue,bueh
tra,
chiudi rubrica, ಎದ
aggiungi ai preferiti,aggi vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai viv
cancella,dindipravovaii
nave,nave
deseleziona,deselezion
chiama emergenza, अःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
preferiti,tasturiti
apri rubrica 3,apri rubrica 2
disattiva vivavoce, ಎದ
scesi,si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..si..
indietro,
chiamata, च्याल्दद्याद्द्द
tastiera, ಎದ
scorri verso l alto, कोटीःटेश्टोईःटाः
uno,वाःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः�
nuovo contatto, more contatto
sei,si
sezione,seleziona
nove,nove
vai alla tastiera,vai Ātastītas pievaijātas pievaijātas pievaijātas pievaijātas pievaijātas pievaijātas pievaijātas pievaijātas pievaijātas pievaijātas pievaijātas pievaijātas pievaijātas pievaijātas pievaijātas pievaijātas pievai
stop,apriya
nuovo contatto,tasturnavastri
cinque,
zero,tastu
deseleziona,
cancella contatto, तच्द्दददददददददददददददददददददददददददददददददददददददददददददददददददददददददद
sezione, i did it
cella,sali
seleziona,चद्ःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
apri rubrica 3,tasturnavaijata
vai nel registro chiamate,aggi
sali,tasti
aggiungi, ಎದ
top, uh
scesi,
chiudi rubrica,ali
disattiva vivavoce,aggiya vivi
otto,apiti
chiudi applicazione,
tre,tatt
attiva vivavoce,tasturnavaijit
muto,muto
aggiungi ai preferiti, ಎದ
termina chiamata,tasturita vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata vivata
richiama,rajaalap
mali,mali
vai alla tastiera,tastelta
due,sali
apri rubrica 2,tasturite
raggiungi,aggi
chiama ultimo numero,sali rubrica 2
scendi, अःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
scorri verso il basso, तोःएएप्च़ःदबाएचद
vai nella rubrica,aggi
esci da rubrica, yai rubri
sette, ok
apri rubrica 1,lalai
vivavoce,sali
sopra, nirvindra
terminare,tasturnavai
nave, POPPING PART 2
quattro,pravechi
zelo,sali
apri,apriya
cancella tutto,saliya rubrica 2
no,अः
cancella, again
bue,tali
tra,ःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
indietro, nila
sotto,sali
chiudi, you
chiamata, you are welcome
nove,ali
fai una telefonata, ಎದ
chiama emergenza,sali
chiama,sali
scorri verso l alto,sali kasi
sei,saii
salva,tasti
tastiera, तच्यःट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट
si,si
muovi,sali
vai nei preferiti,sali
rubrica,tastu
rimuovi,tastai
uno,bueh
vai alla pagina principale, अवःएद्दददददद
preferiti,vaii
chiudi rubrica, youre ready
disattiva vivavoce, तःद्याईवट्टिःएप्द्दिःद
chiama ultimo numero,tasturna
due,due to it
sette,saitre
sopra,sopra
termina chiamata, अःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
attiva vivavoce, yai yai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai jai
scorri verso il basso, च्यवःद्दददददददददददददददददददददददददददददददददददददददददददददददददददददददद�
aggiungi,anyoni
vai nei preferiti,laprivi
tre,ःःः
nove,sali
scendi,tai ni
apri rubrica 2,apriya vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva viv
raggiungi,tasti
no,
richiama,rajaalak
top,tap 2
nuovo contatto,ali baikti
zelo,due to
sezione,te chéna
apri,aggi
sotto,tata
vai nella rubrica,apriya
si,si
chiudi,aggi
vai nel registro chiamate, why not use the right
muovi,mali
seleziona,tehsala
chiama,tastata
apri rubrica 3,apriya vivi
salva,pawaii
nave, Pali
vai alla pagina principale, more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more
scorri verso l alto,chai vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi
fai una telefonata,latcha-latcha
cella,tela
uno, nirvai nirvi nirvi nirvi nirvi nirvi nirvi nirvi nirvi nirvi nirvi nirvi nirvi nirvi nirvi nirvi nirvi nirvi nirvi nirvi nirvi nirvi nirvi nirvi nirvi nirvi nirvi nirvi nirvi nirvi nirvi nirvi nirvi nirvi nirvi nirvi nirvi nirvi nirvi nirvi nirvi
chiamata,srivaata
mali,mali
indietro,desev
sei,tai
vai alla tastiera,lzali
rimuovi,imali
rubrica,abriya
preferiti,tasturiti
chiama emergenza, च्याईःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
muto,muto
cinque,si
tastiera,saliya
otto,ata
esci da rubrica, अच्यालब्रिचाट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्
tra,ःअँ
bue,bueh
aggiungi ai preferiti,aggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggiaggi
vivavoce,ali
terminare,alertes
sali,sali
apri rubrica 1,apriya vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva vivasattva viv
scesi,ohhh
cancella,च्याला
stop,अप्च्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट
zero, yā
cancella tutto, किट्टेःःट्टेःट्टेःट्टेःट्टेःट्टेःट्टेःट्टेःट्टेःट्टेःट्टेःट्टेःट्टेःट्टेःट्टेः
deseleziona,viya shiva
quattro,buehata
chiudi applicazione, अच्टिःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
cancella contatto, तच्छ़ःएएएएएएए
mali, Pai
due,due to it
chiama emergenza,tastu
aggiungi, yai yai
preferiti,vaijit
top,अच्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट
fai una telefonata,vaijata
richiama,ःऎःः
scesi,
muto,quattro
tre,taii
vai alla tastiera,
otto,ata
scorri verso l alto,tastu
chiama ultimo numero,
sali,ali
sezione, अच्याःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः�
cancella tutto,चदादिद
aggiungi ai preferiti,aggi vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai vivai viv
cancella contatto, ಎದ
cella,tastinapiti
stop, ಎದ
zero, n
apri rubrica 1,lvaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaivaiva
attiva vivavoce, okrave
cinque,si ri
terminare,ali
sei,tai
scorri verso il basso, ...sali kala chiti
chiamata,tastu
muovi,mali
apri rubrica 2,duevacchi
si,
salva, PRACTICE PART 2
indietro,ali
raggiungi,aggi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi vivi viv
vai alla pagina principale,tasturnavaijitai
uno, more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more more
chiudi rubrica, yabaiya
chiudi,
disattiva vivavoce, तच्यःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
termina chiamata, तःःएएद़द
chiama,dalla
esci da rubrica,च्याल्विष़्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्�
nove,tastu
vai nei preferiti,चद्दःदःद
deseleziona, ಎದ
tastiera,
rimuovi,tastu
rubrica,ali
chiudi applicazione,
vai nella rubrica,sali
zelo, more
seleziona, ಎ
vivavoce, yalakit
apri rubrica 3,apri
apri,aggi
no,
vai nel registro chiamate, अःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःःः
bue,ali
tra,प्रच्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्ट्
nuovo contatto,aggi
cancella,
sette,s
quattro,laki
